"site_name_wash_co_no_permit","in_wash_co_no_permit","address","lat","lng"
"TUALATIN HILLS PARK & REC",1,"13707 NW SCIENCE PARK DR, PORTLAND, OR 97229",45.525839,-122.819625
"TUALATIN VALLEY WATER DISTRICT",1,"9500 SW INGLEWOOD, BEAVERTON, OR 97225",45.486436,-122.771318
"TUALATIN VALLEY WATER DISTRICT",1,"11285 SW CENTER ST, BEAVERTON, OR 97005",45.493829,-122.792998
"TUALATIN VALLEY WATER DISTRICT",1,"2787 SW 75TH, HILLSBORO, OR 97123",45.505017,-122.903848
"TUALATIN VALLEY WATER DISTRICT",1,"4735 CORNELIUS PASS RD, HILLSBORO, OR 97124",45.553072,-122.900575
"TUALATIN VALLEY WATER DISTRICT",1,"1850 SW 170TH, BEAVERTON, OR 97006",45.524518,-122.851992
"TUALATIN VALLEY WATER DISTRICT",1,"7975 SW GRABHORN, BEAVERTON, OR 97007",45.462349,-122.891516
"TUFCOAT",1,"12345 SW MYSLONY ST, TUALATIN, OR 97062",45.376491,-122.804934
"TVT DIE CASTING & MFG INC",1,"7330 SW LANDMARK LN, PORTLAND, OR 97224",45.418137,-122.750015
"TVT DIE CASTING & MFG INC",1,"7340 SW LANDMARK LN, PORTLAND, OR 97224",45.418137,-122.750077
"USHER PRECISION MANUFACTURING INC",1,"3863 24TH AVE, FOREST GROVE, OR 97116",45.525241,-123.080025
"VANGUARD EMS INC",1,"3725 SW HOCKEN AVE, BEAVERTON, OR 97005",45.492289,-122.814445
"VERIS INDUSTRIES LLC",1,"12345 SW LEVETON DR, TUALATIN, OR 97062",45.385252,-122.798486
