"address","lat","lon"
"12533 SE CARPENTER DR, CLACKAMAS, OR 97015",45.401833,-122.534495
"10180 SE SUNNYSIDE RD, CLACKAMAS, OR 97015",45.433528,-122.56054
"27063 SW Canyon Creek Rd, WILSONVILLE, OR 97070",45.323816,-122.757828
"15500 SE 102ND AVE, CLACKAMAS, OR 97015",45.410503,-122.558641
"15679 SE 135th Ave, Clackamas, OR 97015",45.406571,-122.524752
"27555 SW BOONES FERRY RD, WILSONVILLE, OR 97071",45.161415,-122.854563
"9109 SE 64TH AVE, PORTLAND, OR 97206",45.461497,-122.597622
"14351 S UNION HALL RD, MULINO, OR 97042",45.244843,-122.572094
"13626 S FREEMAN RD, MULINO, OR 97042",45.228836,-122.586593
"16639 CHAMPION WAY, SANDY, OR 97055",45.40413,-122.295563
"12670 SE CAPPS RD, CLACKAMAS, OR 97015",45.399317,-122.535906
"15151 SE INDUSTRIAL WAY, CLACKAMAS, OR 97015",45.413226,-122.563879
"7474 SE JOHNSON CREEK BLVD, PORTLAND, OR 97206",45.456036,-122.586847
"390 S REDWOOD ST, CANBY, OR 97013",45.26162,-122.676093
"24530 S. CASS ROAD, CANBY, OR 97013",45.250526,-122.718956
"15942 S. PARK PLACE CT, OREGON CITY, OR 97045",45.375145,-122.584338
"16911 SE 362ND DR, SANDY, OR 97055",45.400836,-122.291148
"801 NE 4TH AVE, CANBY, OR 97013",45.266667,-122.686251
"19121 BEAVERCREEK RD, OREGON CITY, OR 97045",45.333991,-122.587034
"10037 SE MATHER, CLACKAMAS, OR 97015",45.415956,-122.557988
"37400 BELL ST, SANDY, OR 97055",45.405898,-122.275205
"329 SE 1ST AVE, CANBY, OR 97013",45.2628,-122.691187
"13425 SE JOHNSON RD, MILWAUKIE, OR 97222",45.425558,-122.58227
"12530 SE JENNIFER ST, CLACKAMAS, OR 97015",45.404117,-122.536356
"1420 S TOWNSHIP RD, CANBY, OR 97013",45.25955,-122.677714
"29375 SW KINSMAN RD, WILSONVILLE, OR 97070",45.307657,-122.778668
"9100 SE MANGAN DR, CLACKAMAS, OR 97015",45.400075,-122.561522
"5209 SE INTERNATIONAL WAY, MILWAUKIE, OR 97222",45.433357,-122.612905
"11241 SE HWY 212, CLACKAMAS, OR 97015",45.407715,-122.552488
"16782 SE 130TH AVE, CLACKAMAS, OR 97015",45.400772,-122.530301
