"key","Pollutant","2016 Total Emissions (lbs)","2016 Total Uncontrolled Emissions (lbs)","2016 Total Other Emissions (lbs)","Is Heavy Metal"
"26-2029","Anthracene","0.000","0.000","0.000","FALSE"
"26-2029","Chrysene","0.000","0.000","0.000","FALSE"
"26-2029","Benzo[b]fluoranthene","0.000","0.000","0.000","FALSE"
"26-2029","Acenaphthylene","0.000","0.000","0.000","FALSE"
"26-2029","3-Methylcholanthrene","0.000","0.000","0.000","FALSE"
"26-2029","Acenaphthene","0.000","0.000","0.000","FALSE"
"26-2029","Indeno[1,2,3-cd]pyrene","0.000","0.000","0.000","FALSE"
"26-2029","Benzo[k]fluoranthene","0.000","0.000","0.000","FALSE"
"26-2029","Benz[a]anthracene","0.000","0.000","0.000","FALSE"
"26-2029","Dibenz[a,h]acridine","0.000","0.000","0.000","FALSE"
"26-2029","Benzo[a]pyrene","0.000","0.000","0.000","FALSE"
"26-2029","Benzo[g,h,i]perylene","0.000","0.000","0.000","FALSE"
"26-2029",NA,"0.000","0.000","0.000","FALSE"
"26-2030","Total - All Pollutants","4,280.065","4,030.117","249.948","NA"
"26-2030","Hexane","1,015.918","976.179","39.739","FALSE"
"26-2030","Toluene","957.349","881.979","75.370","FALSE"
"26-2030","Cyclohexane","807.953","776.360","31.593","FALSE"
"26-2030","2,2,4-Trimethylpentane","631.000","574.331","56.669","FALSE"
"26-2030","Xylenes (mixed) including:","452.892","429.658","23.234","FALSE"
"26-2030","Benzene","150.153","133.436","16.717","FALSE"
"26-2030","Ethyl benzene","120.234","114.992","5.242","FALSE"
"26-2030","1,2,4-Trimethylbenzene","83.401","82.197","1.204","FALSE"
"26-2030","Ammonia","32.574","32.574","0.000","FALSE"
"26-2030","Cumene","21.061","20.891","0.170","FALSE"
"26-2030","Naphthalene","5.461","5.454","0.007","FALSE"
"26-2030","Cresols (mixtures of) including:","0.794","0.794","0.000","FALSE"
"26-2030","Formaldehyde","0.763","0.763","0.000","FALSE"
"26-2030","Total - Heavy Metals Only","0.401","0.401","0.000","TRUE"
"26-2030","Zinc","0.295","0.295","0.000","TRUE"
"26-2030","Barium","0.045","0.045","0.000","FALSE"
"26-2030","Acetaldehyde","0.032","0.032","0.000","FALSE"
"26-2030","Acrolein","0.027","0.027","0.000","FALSE"
"26-2030","Vanadium (fume or dust)","0.023","0.023","0.000","TRUE"
"26-2030","Nickel","0.021","0.021","0.000","TRUE"
"26-2030","Molybdenum trioxide","0.017","0.017","0.000","TRUE"
"26-2030","Chromium VI","0.014","0.014","0.000","TRUE"
"26-2030","Cadmium","0.011","0.011","0.000","TRUE"
"26-2030","Copper and compounds","0.009","0.009","0.000","TRUE"
"26-2030","2-Methyl naphthalene","0.006","0.005","0.001","FALSE"
"26-2030","Manganese","0.004","0.004","0.000","TRUE"
"26-2030","Mercury","0.003","0.003","0.000","TRUE"
"26-2030","Arsenic","0.002","0.002","0.000","TRUE"
"26-2030","Cobalt","0.001","0.001","0.000","TRUE"
"26-2030","Selenium","0.000","0.000","0.000","TRUE"
"26-2030","Phenanthrene","0.000","0.000","0.000","FALSE"
"26-2030","7,12-Dimethylbenz[a]anthracene","0.000","0.000","0.000","FALSE"
"26-2030","Beryllium","0.000","0.000","0.000","FALSE"
"26-2030","Pyrene","0.000","0.000","0.000","FALSE"
"26-2030","Fluoranthene","0.000","0.000","0.000","FALSE"
"26-2030","Fluorene","0.000","0.000","0.000","FALSE"
"26-2030","Anthracene","0.000","0.000","0.000","FALSE"
"26-2030","Indeno[1,2,3-cd]pyrene","0.000","0.000","0.000","FALSE"
"26-2030","Chrysene","0.000","0.000","0.000","FALSE"
"26-2030","Benzo[b]fluoranthene","0.000","0.000","0.000","FALSE"
"26-2030","Benz[a]anthracene","0.000","0.000","0.000","FALSE"
"26-2030","Acenaphthylene","0.000","0.000","0.000","FALSE"
"26-2030","3-Methylcholanthrene","0.000","0.000","0.000","FALSE"
"26-2030","Benzo[k]fluoranthene","0.000","0.000","0.000","FALSE"
"26-2030","Acenaphthene","0.000","0.000","0.000","FALSE"
"26-2030","Benzo[a]pyrene","0.000","0.000","0.000","FALSE"
"26-2030","Dibenz[a,h]acridine","0.000","0.000","0.000","FALSE"
"26-2030","Benzo[g,h,i]perylene","0.000","0.000","0.000","FALSE"
"26-2050","Total - All Pollutants","2,878.266","2,878.266","0.000","NA"
"26-2050","Ammonia","1,632.242","1,632.242","0.000","FALSE"
"26-2050","Hexane","915.453","915.453","0.000","FALSE"
"26-2050","Diesel Particulate Matter","212.424","212.424","0.000","FALSE"
"26-2050","Formaldehyde","49.082","49.082","0.000","FALSE"
"26-2050","Total - Heavy Metals Only","20.320","20.320","0.000","TRUE"
"26-2050","Zinc","14.888","14.888","0.000","TRUE"
"26-2050","Toluene","14.143","14.143","0.000","FALSE"
